id,restaurant_id,rating,content
1,9163742,5,식당에 들어서니 아늑해요. 점심식사 시간이 지난 시간이라 사람이 많지는 않았지만 직원들은 친절히 반겨주네요 육회가 신선하고 맛있어요. 빛깔부터 탐스럽게 생겼네요. 소갈비 먹었는데 부드러워요. 고기 먹다보면 별로 좋지않은 부위가 있게 마련인데 나쁜 부위가 하나도 없어요. 돼지갈비도 소갈비처럼 맛있었어요. 냉면도 시원하고 깔끔하고 좋아요. 아! 와인도 가격대비 훌륭해요. 와인 잔이 예쁘니까 기분이 좋네요. 배 부른데 계속 먹었어요. 즐거운 식사였습니다
2,9163742,5,"우리는 갈비와 삼겹살을 주문했는데, 고기가 입에서 살살 녹았다! 상추에 싸서 한입 먹으니 양념의 조화가 정말 환상적이었다. 불판 앞에서 서로 굽느라 바빴지만 그만큼 더 재밌었다. 가격은 약간 비쌌지만 분위기와 맛으로 충분히 만회됐다. 다만 자리가 협소해서 조금 비좁게 느껴졌다. 그래도 둘이서 배부르게 먹고 나오니 행복했다!"
3,9163742,5,오랫만에 동료들과 명동에나가 갈비가먹고싶어서 후기보고 들른집이었는데 완전맛있어요 소고기회는 처음먹어봤는데 와우~완전 신선하고 사르르 녹는맛이 일품입니다 갈비또한 입에 착착 붙어서 말할것도없고 후식 물냉면의 시원함은 끝내줍니다 완전 추천입니다 후회하지않을거에요 담에 나가면 꼭 다시먹을거에요
4,9163742,5,지인들과의 모임으로 방문했어요. 명동역 3번출구에서 2분도 걸리지 않는 찾기 쉬운 장소였어요. 일단 육회가 너무 맛있었어요. 모양도 너무 예쁘게 나와 일반적으로 생각하는 육회가 아니었는데 맛까지 좋아 넘 놀랐어요. 그리고 메인메뉴 갈비는 말해 뭐해요? 부드럽고 입안에서 씹히는 맛이 정말 맛났어요. 특히 와인 콜키지도 되어 지인이 와인 한병 가지고 왔는데 와인잔도 넘 고급스러운 걸 주셔서 기분이 더 업되었네요. 같이 갔던 지인 모두 만족스러운 맛있었어요.
5,9163742,5,고기가 친절하고 사장님이 맛있고 정말정말 인테리어도 깨끗합니다!!!!!!!!!!!!!!!!!!!!!!!!
6,9163742,5,검색해서 찾은 맛집. 가게는 크지않은데 분위기가 좋아요. 양념갈비가 아주 맛있습니다. 식기류도 이뻐요ㅋ 명동에 이런집이 있다니 놀랐습니다
7,9163742,5,명동 숨은맛집 친구랑 방문해서맛있게 먹었습니다. 양념갈비 맛있구요. 분위기도좋아요 한국인 외국인 섞여있는 분위기 신기합니다!
8,9163742,5,가족외식에 추천. 명동에도 이런집이있네요. 고기 반찬 모두 맜있습니다. 외국손님도 많지만 한국사람도 가기좋은집이에요. 열심히하는집.
9,9163742,5,"고기의 질이 정말 뛰어나고, 양념이 잘 배어 있어 한 입 베어 물 때마다 행복이 밀려왔어요. 분위기도 아늑하고, 직원분들이 친절하게 서비스해 주셔서 더욱 기분이 좋았습니다. 다양한 반찬이 함께 나와서, 서로 나눠 먹으며 대화도 꽃피웠습니다. 다음에도 꼭 다시 방문하고 싶어요!"
10,9163742,5,고기등급이 높은지 굉장히 부드럽고 질이 좋습니다 고기집에 왔으니 고기가 젤 중요하죠 부모님도 정말 많이 드셨는데 분위기도 좋고 친절하고 직접 구워주셔서 편안하게 식사할수 있었습니다 밑반찬도 정갈하고 맛있었습니다
