id,restaurant_id,menu_order,menu_name,price_text,price_value,is_main
1,9163742,1,400 Soy Marinated Ribs,"59,000원",59000,true
2,9163742,2,1++ Grade 9 Beef Sirloin,"72,000원",72000,true
3,9163742,3,400 Whole Ribs,"67,000원",67000,true
4,9163742,4,Dodoram Han-don Samgyeopsal (Korean pork belly),"20,000원",20000,true
5,9163742,5,1++ Hanwoo Chadolbaki (premium beef brisket),"37,000원",37000,true
6,9163742,6,Handon Marinated Grilled Pork,"23,000원",23000,true
7,9163742,7,1++ Hanwoo Yukhoe wa Guun Gamtae (premium beef tartare with grilled seaweed),"35,000원",35000,true
8,9163742,8,Seoul Style Beef Bulgogi Hot Pot,"19,000원",19000,true
9,9163742,9,King rib soup,"17,000원",17000,true
10,9163742,10,Beef brisket doenjang stew,"10,000원",10000,true
11,9163742,11,Beef Soup with Rice,"12,000원",12000,true
12,9163742,12,Cold Noodles / Spicy Mixed Noodles,"9,000원",9000,true
13,9163742,13,Grilled beef tongue,"38,000원",38000,true
14,33118839,1,Lunch Special Yunsul Sprout Beef Bibimbap,"15,000원",15000,true
15,33118839,2,Lunch Special Yunsul Minari Beef Bibimbap,"15,000원",15000,true
16,33118839,3,Yunseul Suksung Samgyeopsal (Sunshine Aged Pork Belly) (150g),"18,000원",18000,true
17,33118839,4,Yunseul Suksung Moksal (Sunshine Aged Pork Neck) (150g),"18,000원",18000,true
18,33118839,5,Yunseul Suksung Gabrisal (Sunshine Aged Pork Collar Butt) (150g),"21,000원",21000,true
19,33118839,6,Yunseul Suksung Hangjeongsal (Sunshine Aged Pork Jowl) (150g),"24,000원",24000,true
20,33118839,7,Chadolbaki (Beef Brisket) (180g),"34,000원",34000,true
21,33118839,8,Beef Rib Meat (Boneless Short Rib) (180g),"36,000원",36000,true
22,33118839,9,LA Galbi (240g),"42,000원",42000,true
23,33118839,10,Marinated short ribs (250g),"44,000원",44000,true
24,33118839,11,Hanwoo flap meat (130g),"55,000원",55000,true
25,33118839,12,Minari Beef Tartare,"36,000원",36000,true
26,33118839,13,Soy steak (kong steak),"30,000원",30000,true
27,33118839,14,Korean oyster pancake (guljeon),"30,000원",30000,true
28,33118839,15,Cold Noodles (Broth),"10,000원",10000,true
29,33118839,16,Spicy Cold Noodles,"10,000원",10000,true
30,33118839,17,Kimchi Stew (Kimchi Jjigae),"10,000원",10000,true
31,33118839,18,Soybean paste stew (doenjang jjigae),"10,000원",10000,true
32,33118839,19,Steamed egg,"12,000원",12000,true
33,33118839,20,Cheese Steamed Egg,"13,000원",13000,true
34,26822594,1,Daol Samgyeopsal Lunch Special (Choice: Mul Naengmyeon or Bibim Naengmyeon),"15,000원",15000,true
35,26822594,2,Dwaeji Yangnyeom Galbi Lunch Special (basic: Mul Naengmyeon or Bibim Naengmyeon),"18,000원",18000,true
36,26822594,3,Dwaeji Yangnyeom Galbi (250g),"20,000원",20000,true
37,26822594,4,Iberico (150g),"24,000원",24000,true
38,26822594,5,Iberico Lunch Special (Choice: Mul Naengmyeon or Bibim Naengmyeon),"22,000원",22000,true
39,26822594,6,Beef Rib Meat Lunch Special (choice: cold noodles or spicy cold noodles),"28,000원",28000,true
40,26822594,7,Daol Samgyeopsal (150g),"18,000원",18000,true
41,26822594,8,Chadolbaki (150g),"30,000원",30000,true
42,26822594,9,LA Galbi (220g),"38,000원",38000,true
43,26822594,10,Marinated short ribs (250g),"40,000원",40000,true
44,26822594,11,Beef tartare (130g) (hanwoo yukhoe),"30,000원",30000,true
45,26822594,12,Jabchae (stir-fried glass noodles),"25,000원",25000,true
46,26822594,13,Kimchi Pancake,"20,000원",20000,true
47,26822594,14,Grilled mushrooms,"15,000원",15000,true
48,26822594,15,Steamed egg,"12,000원",12000,true
49,25453046,1,Yuja Yurinki (yuja fried chicken),"24,000원",24000,true
50,25453046,2,Mala Yurinji,"25,000원",25000,true
51,25453046,3,Garlic Kanpunggi (spicy fried chicken),"26,000원",26000,true
52,25453046,4,Chive Salted Boneless Grilled Chicken,"23,000원",23000,true
53,25453046,5,Authentic Kanpunggi (spicy fried chicken),"25,000원",25000,true
54,25453046,6,Chicken Thigh Yaki Udon,"19,000원",19000,true
55,25453046,7,Stir-fried Lamb Noodle with Tan Tan Sauce,"20,000원",20000,true
56,25453046,8,Pooju Spicy Boneless Chicken,"23,000원",23000,true
57,25453046,9,Grilled chicken with gochujang (gochujang jikhwa sunsal dakgui),"22,000원",22000,true
58,25453046,10,Linguine shrimp Pad Thai,"22,000원",22000,true
59,25453046,11,Egg and shrimp fried rice,"13,000원",13000,true
60,14803418,1,Tenderloin (200g),"28,900원",28900,true
61,14803418,2,Chae Gae Sirloin (250g),"33,400원",33400,true
62,14803418,3,Flower Sirloin (250g),"31,900원",31900,true
63,10388017,1,Cheese Dakgalbi,"15,000원",15000,true
64,10388017,2,Rose Dakgalbi (spicy stir-fried chicken),"15,000원",15000,true
65,10388017,3,Dak Galbi (spicy stir-fried chicken),"13,000원",13000,true
66,10388017,4,Dak Hanmari (whole chicken soup),"15,000원",15000,true
67,4343686,1,Price Change,변동가격,,true
68,4343686,2,Mushroom Risotto with Mascarpone Cream,"40,000원",40000,true
69,4343686,3,Spinach Lasagna (Lasagne agli spinaci),"42,000원",42000,true
70,4343686,4,Mezze Maniche alla Norcina,"39,000원",39000,true
71,4343686,5,Fettuccine with Lemon Bisque,"42,000원",42000,true
72,4343686,6,Don Salvo by Risto Pizza (R),"40,000원",40000,true
73,14090441,1,Samgyeopsal (150g),"18,000원",18000,true
74,14090441,2,Hangjeongsal (150g),"22,000원",22000,true
75,14090441,3,Moksal (150g),"18,000원",18000,true
76,14090441,4,Gabrisal (150g),"21,000원",21000,true
77,14090441,5,853 Meat Jeon (pancake),"14,000원",14000,true
78,1174982,1,Ginseng chicken soup with black-boned chicken,"31,000원",31000,true
79,1174982,2,Ginseng chicken soup with wild ginseng,"26,000원",26000,true
80,1174982,3,Ogolgae Samgyetang (black chicken ginseng soup),"25,000원",25000,true
81,1174982,4,Samgye-tang (ginseng chicken soup),"20,000원",20000,true
82,1174982,5,Boiled Chicken,"30,000원",30000,true
83,1174982,6,Okkye-tang (herbal chicken soup),"20,000원",20000,true
84,1174982,7,Dakdoritang (spicy chicken stew),"30,000원",30000,true
85,1174982,8,Electric Grilled Chicken,"19,000원",19000,true
86,26779314,1,Limited Sale: Hanwoo Garlic Gopchang (220g),"26,000원",26000,true
87,26779314,2,Assorted Grilled Gopchang (220g),"28,000원",28000,true
88,26779314,3,Limited Sale: Hanwoo Green Onion Daechang (300g),"26,000원",26000,true
89,26779314,4,Wood-Fired Hanwoo Beef Intestines (220g),"26,000원",26000,true
90,26779314,5,Grilled Makchang (220g),"23,000원",23000,true
91,26779314,6,Grilled Heart (180g),"18,000원",18000,true
92,26779314,7,Gopchang Jeongol (beef tripe hot pot),"52,000원",52000,true
93,26779314,8,Recommended: Buldak Bokkeummyeon (spicy chicken noodles),"5,000원",5000,true
94,14803417,1,Assorted Platter (5 types),"55,000원",55000,true
95,14803417,2,Assorted Sushi (10 pcs),"150,000원",150000,true
96,14803417,3,Tamayura Special Rice (2 servings),"120,000원",120000,true
97,14803417,4,Haesanmul Modum Nabe (assorted seafood hot pot),"100,000원",100000,true
98,14803417,5,Assorted Tempura,"70,000원",70000,true
99,9018255,1,Homemade Garlic Gopchang (Limited Sale),"28,000원",28000,true
100,9018255,2,Grilled Makchang (grilled beef intestines),"25,000원",25000,true
101,9018255,3,Assorted Grilled Dishes,"25,000원",25000,true
102,9018255,4,Grilled Heart,"18,000원",18000,true
103,9018255,5,Hanwoo Intestines,"26,000원",26000,true
104,9018255,6,Hanwoo Large Intestines,"26,000원",26000,true
105,9018255,7,Grilled Special Beef Tripe,"27,000원",27000,true
106,9018255,8,Hot Pot Beef Intestine Stew,"16,000원",16000,true
107,9018255,9,Spicy Chicken Noodles,"5,000원",5000,true
108,9018255,10,Yangban rice,"12,000원",12000,true
109,9018255,11,Chewy cold noodles (jolmyeon),"7,000원",7000,true
110,9018255,12,Kimchi Noodle Rolls,"6,000원",6000,true
111,9018255,13,Smelt Roe Rice Ball,"5,000원",5000,true
112,9018255,14,Spicy ramen,"4,000원",4000,true
113,9018255,15,Sizzling fried rice,"4,000원",4000,true
114,9018255,16,Rice Cake or Potato Noodles,"2,000원",2000,false
115,9018255,17,Rice Bowl,"1,000원",1000,true
116,9018255,18,Cucumber Soju,"4,000원",4000,false
117,9018255,19,Soju,"5,000원",5000,false
118,9018255,20,Beer,"6,000원",6000,false
119,9018255,21,Non-Alcoholic Beer,"6,000원",6000,false
120,9018255,22,Daeseon/Halla Mountain,"6,000원",6000,true
121,9018255,23,Maehwasu/Cheongha (Korean rice wine),"6,000원",6000,true
122,9018255,24,Black Raspberry,"15,000원",15000,true
123,9018255,25,Premium Jinro Oak 25,"30,000원",30000,true
124,9018255,26,Hwayo 25,"30,000원",30000,true
125,9018255,27,Drinks,"2,000원",2000,false
126,9018255,28,Tonic water,"2,000원",2000,true
127,9018255,29,Lemon Wedge,"2,000원",2000,true
128,1371740,1,Dried Pollack Soup,"11,000원",11000,true
129,2327459,1,Tod Man Goong (2 pcs) (shrimp cakes),"9,900원",9900,true
130,2327459,2,Som Tam (spicy green papaya salad),"11,000원",11000,true
131,2327459,3,Pad Kaprow Gai,"24,200원",24200,true
132,2327459,4,Massaman Curry Gai,"24,200원",24200,true
133,2327459,5,Pad Pak Bung Faidang (Morning Glory),"16,500원",16500,true
134,2327459,6,Pad Kaprow Muu,"24,200원",24200,true
