restaurant_id,rating,country,content
27127922,5,,카페 음료가 정말 마음에 들었습니다. 더운 여름에 마시기 딱 좋을 만큼 시원하고 맛있었어요! 🍹카페 인테리어도 매우 아름답고 아늑해서 기분 좋게 시간을 보낼 수 있었습니다. 이렇게 예쁘고 편안한 공간을 만들어 주셔서 감사합니다 💕🌸
27127922,4,,친구와 예쁜사진찍고 기분전환시 좋을공간이에요
27127922,5,,"이 카페는 꼭 가볼 만한 곳이에요. 정말 깨끗하고 예쁘고, 사진 찍기에도 좋은 곳이에요. 메뉴가 좀 더 다양하고 사진도 있었으면 좋았겠지만, 전반적으로 만족해요. 커피는 부드럽고 맛있고, 모든 음식이 화려하고 우아한 접시에 담겨 나와요. 외국인에게도 친절한 곳이에요."
27127922,5,,"아름다운 장소, 맛있는 디저트, 사진 촬영에 매우 적합합니다. 다음번에는 이곳에 다시 오는 것을 놓치지 않을 것입니다."
27934627,5,,진짜 너무예쁘고 마녀배달부키키 영화에 나온 설정과 비슷한 소품들이 많아서 귀여워요 🩷 디저트도 너무 예쁘고 음악도 지브리 ost들로 가득해서 더 좋아요 잘 보고갑니다 🫶
27934627,5,,분위기가 너무 좋아요 또 오고 싶어요 음료도 진짜진짜 맛있어요 특히 타르트를 꼭 먹어야 해요 왜냐고요? 직접 드셔보세요~
27934627,5,,분위기가 예쁘고 테마가 정말 예뻐요 지브리 좋아하시면 무조건 추천드립니다 입구부터 귀여운 녹색문에 디저트랑 음료도 정말 예뻐요!!♡ 재방문의사 매우있습니당♡
27934627,5,,"분위기도 너무 좋고, 메뉴도 맛있어서 만족스러워요. 다음에 또 가고 싶습니다! 재방문의사 완전 높음!!! 인테리어도 너무 귀여워요."
27934627,5,,지지도 너무 귀엽고 디저트도 맛있어요! 지브리 좋아하시는 분들께 완전 추천이에요:) 녹차팥 케이크 먹었는데 위에 비지 초콜릿 올라가 있어서 너무 귀여워요
27934627,4,,아기자기하게 카페를 잘 꾸며놔서 사진 찍고 데이트 하기에 좋은 것 같아요! 남자친구랑 데이트하기에 좋은 장소인것 같아요~
27934627,5,,키키 좋아해서 종종 옵니다..🤍 분위기도 좋구.. 너무 귀엽구.. 음료도 맛있고.. 디저트도 맛있구.. 제주점도 꼭 가보고 싶어요..
