id,name,phone,address,postal_code,lat,lng,category,hours,description,image,link
27127922,Cafe Swarovski,+82 2-3445-0802,30 Eonju-ro 164-gil 3F,6062,37.52542,127.035965,Cafe,Sun 11:00~19:30 / Mon 11:00~19:30 / Tue 11:00~19:30 / Wed 11:00~19:30 / Thu 11:00~19:30 / Fri 11:00~19:30 / Sat 11:00~19:30,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2f/92/f3/a8/k-royal-dessert-tea-set.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d27127922-Reviews-Cafe_Swarovski-Seoul.html
17202019,Onion Anguk,+82 70-7543-2123,"5, Gyedong-gil, Jongno-gu",3059,37.5775,126.98665,Cafe,Sun 09:00~22:00 / Mon 07:00~22:00 / Tue 07:00~22:00 / Wed 07:00~22:00 / Thu 07:00~22:00 / Fri 07:00~22:00 / Sat 09:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/15/1b/bd/caption.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d17202019-Reviews-Onion_Anguk-Seoul.html
27934627,Koriko Cafe,+82 2-338-8865,"165-7 Seongmisan-ro, Mapo-gu Daewon Media Yeonnam Branch",3980,37.565006,126.92468,Cafe,Sun 11:00~20:00 / Mon 11:00~20:00 / Tue 11:00~20:00 / Wed 11:00~20:00 / Thu 11:00~20:00 / Fri 11:00~20:00 / Sat 11:00~20:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/9d/56/7c/caption.jpg?w=900&h=-1&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d27934627-Reviews-Koriko_Cafe-Seoul.html
8874136,Paris Baguette Myeongdong Gwangjang,+82 2-3789-0044,"23, Myeongdong 9-gil, Jung-gu",4534,37.56111,126.98479,Cafe,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/51/6d/7a/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d8874136-Reviews-Paris_Baguette_Myeongdong_Gwangjang-Seoul.html
27697272,Cafe Pokpo,,262-29 Yeonhui-ro Seodaemun-gu,3653,37.581264,126.93703,"Asian, Korean",Sun 10:00~21:00 / Mon 10:00~21:00 / Tue 10:00~21:00 / Wed 10:00~21:00 / Thu 10:00~21:00 / Fri 10:00~21:00 / Sat 10:00~21:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/ee/1d/47/cafe-overlooking-the.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d27697272-Reviews-Cafe_Pokpo-Seoul.html
2228905,Cha-teul,+82 10-9680-0688,"6 Samcheong-ro 4-gil, Jongno-gu 2nd Floor",3052,37.581936,126.98181,"Cafe, Korean",Sun 11:00~21:00 / Tue 11:00~21:00 / Wed 11:00~21:00 / Thu 11:00~21:00 / Fri 11:00~21:00 / Sat 11:00~21:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/98/d7/f5/caption.jpg?w=200&h=200&s=1&cx=4371&cy=2305&chk=v1_61d445397c32bc84ce48,https://www.tripadvisor.com/Restaurant_Review-g294197-d2228905-Reviews-Cha_teul-Seoul.html
3329965,Paris Baguette Gangnam Station,+82 2-567-8203,"28, Teheran-ro 1-gil, Gangnam-gu",6129,37.4995,127.02724,Cafe,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/5b/37/a7/caption.jpg?w=700&h=400&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d3329965-Reviews-Paris_Baguette_Gangnam_Station-Seoul.html
7161373,Beans Beans Coffee Myeongdong Branch,+82 2-3789-1980,"10, Myeongdong 8na-gil, Jung-gu Savoy Hotel 2F",4536,37.5618,126.98423,"Belgian, Cafe",Sun 08:00~22:00 / Mon 08:00~22:00 / Tue 08:00~22:00 / Wed 08:00~22:00 / Thu 08:00~22:00 / Fri 08:00~22:00 / Sat 08:00~22:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/83/1f/9e/photo5jpg.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d7161373-Reviews-Beans_Beans_Coffee_Myeongdong_Branch-Seoul.html
5893100,Cafe Coin 1,+82 2-753-1667,"2~3F, 54-20, Myeong-dong 2-ga, Jung-gu",55222,37.562874,126.9841,Cafe,,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/50/95/5c/caption.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d5893100-Reviews-Cafe_Coin_1-Seoul.html
7376255,Thanks Nature Cafe,+82 2-332-7470,"10, Hongik-ro, Mapo-gu Seogyo Purgio B121",4055,37.55339,126.92376,Cafe,Sun 12:00~20:00 / Mon 11:00~20:00 / Tue 11:00~20:00 / Wed 11:00~20:00 / Thu 11:00~20:00 / Fri 11:00~20:00 / Sat 11:00~20:00,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/8f/28/63/inside-that-cafe.jpg?w=900&h=500&s=1,https://www.tripadvisor.com/Restaurant_Review-g294197-d7376255-Reviews-Thanks_Nature_Cafe-Seoul.html
